item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
CHEESE BLUE 100GM (Castello) EA (10),,Dairy & Eggs,each,each,1,,each,Unit,100g,
CHEESE GOAT LOG 1KG (Meredith) EA (12),,Dairy & Eggs,each,each,1,,each,kg,,2750
CHEESE HALOUMI 750GM (Cypriana) EA (5),,Dairy & Eggs,each,each,1,,each,Unit,g,
CHEESE MOZZARELLA SHREDDED 2KG (Cheese King) EA (6),,Dairy & Eggs,each,each,1,,each,Unit,kg,2300
CHEESE RICOTTA 500GM (Perfect) EA (6),,Dairy & Eggs,each,each,1,,each,g,,800
COCONUT CREAM 560ML (Mae Ploy) EA (24),,Dry / Pantry,each,each,1,,each,ml,,350
COCONUT MILK 400ML (Royal Line) EA (24),,Dry / Pantry,each,each,1,,each,ml,,170
CONDENSED MILK 395GM (Nestle) EA (12),,Dairy & Eggs,each,each,1,,each,g,,400
CREAM THICK FRESH 5LT (Dairy Farmers) EA (3),,Dairy & Eggs,each,each,1,,each,l,,3720
EVAPORATED MILK CARNATION 340ML (Nestle) EA (18),,Dairy & Eggs,each,each,1,,each,ml,,360
ICE CREAM CHOCOLATE 10LT (Everest) EA,,Frozen,each,each,1,,each,l,,2500
2023 Maison Saint Aix Dry Rose 750ml (Case of 12),,Wine — Rosé,case,bottle,12,12,case,ml,,23200
ALLSPICE WHOLE 350GM (Galaxy) EA,,Herbs & Spices,each,each,1,,each,g,,1400
BEANS BLACK DRY 1KG (Galaxy) EA (12),,Dry / Pantry,each,each,1,,each,kg,,500
BEANS BUTTER TIN 400GM (Sandhurst) EA (24),,Dry / Pantry,each,each,1,,each,unit,g,
FLOUR PLAIN 12.5KG (Manildra) EA,,Dry / Pantry,each,each,1,,each,kg,,1400
FLOUR PLAIN 1KG (Manildra) EA,,Dry / Pantry,each,each,1,,each,kg,,250
FLOUR TORTILLAS 12X91GM 12INCH (True Foods) EA (6),,Bakery,each,each,1,,each,units,,570
LENTILS PUY FRENCH 1KG (Chefs Choice) EA,,Dry / Pantry,each,each,1,,each,kg,,650
MASECA TORTILLA YELLOW CORN  FLOUR 1kg,,Bakery,each,each,1,,,kg,,590
RICE BASMATI 1KG (Natures Secret) EA (12),,Dry / Pantry,each,each,1,,each,kg,,300
RICE JASMINE 1KG (Sunrice) EA (12),,Dry / Pantry,each,each,1,,each,kg,,350
SUGAR CASTER 1KG (CSR) EA (12),,Dry / Pantry,each,each,1,,each,kg,,275
SUGAR WHITE 1KG (CSR) EA (12),,Dry / Pantry,each,each,1,,each,kg,,260
VANILLA BEAN PASTE ORGANIC TUBE 320GM (Queen) EA (10),,Herbs & Spices,each,each,1,,each,g,,3000
White Corn Flour 2kg (MASA LISTA),,Dry / Pantry,each,each,1,,,kg,,990
BEEF BRISKET POINT END,,Meat & Poultry,kg,kg,1,,,kg,,11440
BEEF SHORT RIBS GRAINFED 3 RIB,,Meat & Poultry,kg,kg,1,,,kg,,5180
CHICKEN NO. 15 FRESH,,Meat & Poultry,kg,kg,1,,,units,,1280
CHICKEN THIGH FILLETS SKIN OFF,,Meat & Poultry,kg,kg,1,,,kg,,1850
