venue	stockItem	unitCostExGst
Alma Avalon	Atlas 'Eden Valley' Riesling	16.81
Alma Avalon	Badenhorst 'Secateurs' Chenin Blanc	23.00
Alma Avalon	BenMarco 'Valle de Uco' Malbec	25.22
Alma Avalon	Bonnet & Cotton Beaujolais Rouge	35.00
Alma Avalon	Cannonball Cabernet Suavignon	27.06
Alma Avalon	Capa Tempranillo	13.16
Alma Avalon	Catalina Sounds 'Sound of White' Sauvignon Blanc	17.50
Alma Avalon	Domaine Thomson 'Explorer' Pinot Noir	23.31
Alma Avalon	El Desperado Pinot Noir	12.33
Alma Avalon	Eperosa 'Magnolia 1941' Semillon	30.00
Alma Avalon	Frankly Bob Skinsy	21.00
Alma Avalon	Frogmore Creek Riesling	21.16
Alma Avalon	Geoff Merrill 'Jacko's' Shiraz	17.51
Alma Avalon	Geoff Merrill Reserve Cab Sauv	28.84
Alma Avalon	Gotas de Mar Albarino	22.19
Alma Avalon	Greystone Pinot Gris	18.20
Alma Avalon	Greywacke Sauv Blanc	20.96
Alma Avalon	Helen's Hill 'The Smuggler' Pinot Noir	36.87
Alma Avalon	Inama Soave Classico	20.04
Alma Avalon	Ingram Road Chardonnay	14.31
Alma Avalon	Kendall Jackson 'Vintner's Reserve' Chardonnay	27.95
Alma Avalon	La Belle 'Colette' Rose	19.38
Alma Avalon	La Violetta Patio Nat	23.80
Alma Avalon	Lark Hill Roxanne	15.91
Alma Avalon	Laurent Perrier La Cuvee	64.34
Alma Avalon	Moments of Clarity Riesling	13.54
Alma Avalon	Montefili Chianti Classico	27.08
Alma Avalon	R. Paulazzo Rose	10.64
Alma Avalon	Sabi Wabi Pet Nat	21.50
Alma Avalon	Serenello Prosecco	16.15
Alma Avalon	Shut The Gate Gewurztraminer	17.03
Alma Avalon	Stephane Brocard Macon Villages	30.99
Alma Avalon	Tesuner 'Wark Family' Shiraz	16.95
Alma Avalon	Teusner 'Avatar' GSM	24.51
Alma Avalon	Teusner The G Grenache	18.50
Alma Avalon	Thorin Macon Villages	20.61
Alma Avalon	Vanguardist 'Field' GSM	23.50
Alma Avalon	Villa Albergotti Chianti Superiore	21.75
Alma Avalon	Weingut Huls Riesling	21.07
Alma Avalon	Winmark Chardonnay	15.28
Alma Avalon	i Lauri 'AVALOS' Pecorino	15.29
St Alma	A. Rodda Tempranillo	26.88
St Alma	All Saint Grand Rutherglen Muscat	44.27
St Alma	Atlas 'Eden Valley' Riesling	16.81
St Alma	Badenhorst 'Secateurs' Chenin Blanc	23.00
St Alma	Balmy Nights Schonberger	17.00
St Alma	BenMarco Malbec	25.22
St Alma	Billecart Salmon Rose	155.00
St Alma	Bonnet & Cotton Beaujolais Rouge	35.00
St Alma	Brave New Wine 'Pystopia'	16.90
St Alma	Briar Ridge 'BDX'	12.50
St Alma	Briar Ridge 'The Squire' Chardonnay	12.77
St Alma	Ca Di Bruno Barbaresco	42.57
St Alma	Cannonball Cabernet Sauvignon	26.07
St Alma	Cannonball Chardonnay	26.03
St Alma	Capa Tempranillo	13.16
St Alma	Catalina Sounds 'Sound of White' Sauvignon Blanc	17.50
St Alma	Chateau Cru Godard Bordeaux Red	26.80
St Alma	Chateau Domecq	17.85
St Alma	Chateau Grand Village White Bordeaux	43.29
St Alma	Chateau La Grave Figeac	69.80
St Alma	Domaine Bouchard Corton Grand Cru	300.00
St Alma	Domaine Christian Salmon Sancerre	35.48
St Alma	Domaine Gavoty 'Cigale' Cote de Provence	17.39
St Alma	Domaine Oudin Chablis	42.18
St Alma	Domaine Rougeot Meursault 'Sous la Velle'	162.80
St Alma	Domaine Sparr Riesling 'Sentiment'	40.80
St Alma	Domaine Thomson 'Explorer' Pinot Noir	23.31
St Alma	Domaine Thomson 'Left Bank' Chardonnay	38.49
St Alma	Domaine du Bouchot Pouilly-Fume 'Terres Blanches'	55.80
St Alma	Domaine du Trapadis Cairanne 'Garrigues'	29.42
St Alma	Domaine du Trapadis VDF Red 'Esprit'	19.80
St Alma	Domaines Schlumberger Grand Cru Riesling	43.41
St Alma	Domanie Christian Salmon Sancerre	35.48
St Alma	Domanie Sparr Riesling 'Sentiment'	40.80
St Alma	Edmeades Zinfandel	33.90
St Alma	Eperosa 'Magnolia 1941' Semillon	30.00
St Alma	Frogmore Creek Riesling	21.16
St Alma	Geoff Merrill 'Jacko's' Shiraz	17.70
St Alma	Geoff Merrill Reserve Cabernet Sauvignon	28.84
St Alma	Giaconda 'Nantua Les Deux' Chardonnay	85.00
St Alma	Giant Steps 'Sexton Vineyard' Chardonnay	56.98
St Alma	Giant Steps Rose	21.50
St Alma	Giant Steps Syrah Carignan Grenache	21.50
St Alma	Gilbert Sauvignon Blanc	19.70
St Alma	Gomez Cruzado	18.18
St Alma	Gotas de Mar Albarino	22.19
St Alma	Greystone Pinot Gris	18.20
St Alma	Greywacke Sauv Blanc 375mL	20.95
St Alma	Grosset 'Apiana' Fiano	32.79
St Alma	Grosset 'Polish Hill' Riesling	49.99
St Alma	Haddow & Dineen 'Private Universe' Pinot Noir	36.55
St Alma	Helen's Hill 'The Smuggler' Pinot Noir	36.87
St Alma	Hickinbotham Cab Sauv	32.96
St Alma	Inama Soave Classico	23.33
St Alma	Ingram Road Chardonnay	14.31
St Alma	Jean-Luc Jamet Syrah 'Valine'	52.80
St Alma	Kendall Jackson 'Vintner's Reserve' Chardonnay	27.95
St Alma	La Belle 'Colette' Rose	19.38
St Alma	La Petit Mort 'Qvevri' VMR	22.50
St Alma	La Violetta 'Up!' Shiraz	24.00
St Alma	Laurent Perrier Brut Rose	129.86
St Alma	Laurent Perrier La Cuvee	70.77
St Alma	Loic Mahe 'Sables & Schists' Chenin Blanc	49.00
St Alma	Loimer 'Lenz' Riesling	26.38
St Alma	Louis Jadot Bourgogne	40.64
St Alma	Louis Jadot Pouilly-Fuisse	65.79
St Alma	Maison Saint AIX Rose	25.83
St Alma	Mallaluka Nero D'Avola	19.00
St Alma	Moments of Clarity Riesling	13.54
St Alma	Mon Tout 'Heydays' Chardonnay	17.03
St Alma	Nick Spencer Tumbarumba Gruner Veltliner	20.27
St Alma	Nielson Pinot Noir	32.47
St Alma	Novum Pinot Noir	46.15
St Alma	Other Wine Co Arinto	16.14
St Alma	Papa Panda Rising Riesling	34.75
St Alma	Paxton Elizabeth Jean Shiraz	71.60
St Alma	Poggio Anima 'Uriel' Grillo	15.26
St Alma	Poggio Solosole Vermentino	23.69
St Alma	Pol Roger Brut Rose	165.00
St Alma	Polperro Pinot Gris	24.82
St Alma	R. Paulazzo Rose	10.64
St Alma	Ramos Pinto Duas Quintas Tinto	25.16
St Alma	Red Claw Pinot Noir	21.48
St Alma	Rockford 'Basket Press' Shiraz 2004	325.00
St Alma	Rockford 'Basket Press' Shiraz 2004 750mL	325.00
St Alma	Rockford 'Basket Press' Shiraz 2017	185.00
St Alma	Rockford 'Basket Press' Shiraz 2017 750mL	185.00
St Alma	Rockford 'Basket Press' Shiraz 2018	210.00
St Alma	Sabi Wabi 'Sugi' Semillon	23.65
St Alma	Sandrone Le Vigne Barolo	360.00
St Alma	Serenello Prosecco	12.52
St Alma	Shaw & Smith M3 Chardonnay	38.50
St Alma	Shut The Gate Gewurztraminer	18.73
St Alma	Smallfry 'Vinevale Estate' Shiraz	25.00
