venue	vintage	producer	cuvee	grape	region	origin	section	band	pours	pairs	flags	note
St Alma	2024	Moments of Clarity		Riesling	Eden Valley	SA	Riesling		150:16|250:26|750:73			
St Alma	2024	Gotas de Mar		Albariño	Rías Baixas	ESP	Other whites	Crisp & refreshing	150:19|250:31|750:86	s		Peach and white flowers with a saline mineral lift; stone fruit, mouth-watering acidity, persistent finish.
St Alma	2023	Gilbert Family Wines		Sauvignon Blanc	Orange	NSW	Sauvignon Blanc & Semillon		150:18|250:29|750:84	s,v		White nectarine, guava and stone fruit; crisp and textural with careful oak framing.
St Alma	2023	Shut The Gate	For Freedom	Gewürztraminer	Clare Valley	SA	Other whites	Aromatic & textural	150:17|250:27|750:76	v		Striking floral and lychee perfume with a lick of ginger spice; dry, plush and lightly textured, bright acidity.
St Alma	2024	Ingram Road		Chardonnay	Yarra Valley	VIC	Chardonnay		150:16|250:26|750:73	v		Citrus blossom, white peach with soft vanilla and cashew; barrel-fermented, gently creamy but fresh.
St Alma	2023	Domaine Oudin Chablis		Chardonnay	Burgundy	FRA	Chardonnay		150:35|250:57|750:144	s	som	Citrus and sea salt; yellow apple and lemon zest, textural mid-palate, steely with a saline mineral finish.
St Alma	2024	Château Grand Village White		Sauvignon Blanc Semillon	Bordeaux	FRA	Sauvignon Blanc & Semillon		150:37|250:59|750:152	s,v	som	Lime flower, honeysuckle, pear and white peach; dry and racy with a flinty saline finish and gentle barrel texture.
St Alma	2022	La Petite Mort	Qvevri	Viognier Marsanne Roussanne	Granite Belt	QLD	Skin contact & orange		150:20|250:33|750:93	v	som	Mandarin peel, crisp apple, honeysuckle and blood orange; amphora-fermented on skins, waxy texture, savoury layering.
St Alma	NV	Serenello Prosecco		Glera	Veneto	ITA	Bubbles		150:17|750:76	s		Acacia blossom and yellow apple; crisp and lightly yeasty with crunchy fruit and a clean finish.
St Alma	NV	Taittinger Brut Réserve		Chardonnay Pinot Noir Pinot Meunier	Champagne	FRA	Bubbles		150:29|375:96|750:162	s		Peach, ripe pear and lemon over brioche; delicate and chalky with a creamy mousse and silky finish.
St Alma	NV	Laurent-Perrier Cuvée Rosé		Pinot Noir	Champagne	FRA	Bubbles		750:325	s		Strawberry, raspberry and cherry; brisk attack, rounded berry palate, fresh and vinous finish.
St Alma	NV	Billecart-Salmon Brut Rosé		Champagne blend	Champagne	FRA	Bubbles		750:290	s	ltd	Delicate red berry and citrus zest with floral lift; creamy fine bead, wild strawberry, precise finish.
St Alma	NV	Pol Roger Brut Rosé		Champagne blend	Champagne	FRA	Bubbles		750:315	s	ltd	Raspberry, redcurrant and blackcurrant with rose and honeysuckle; chalky, mouth-filling, mineral finish.
St Alma	2018	Surco 2.7		Cabernet Sauvignon	Baja California	MEX	Mexican wine		750:101	r		Red and black fruit with light pepper and vanilla from barrel; smooth ripe tannin, lingering finish.
St Alma	2019	Château Domecq		Cabernet Sauvignon Merlot Nebbiolo	Valle de Guadalupe	MEX	Mexican wine		750:71	r		Forest red fruits, tobacco and ripe plum; slow velvety finish and rounded structure from barrel age.
St Alma	2025	Grosset	Polish Hill	Riesling	Clare Valley	SA	Riesling		750:167	s		Lemon blossom, kaffir lime and green apple over crushed slate; delicate, floral, finely etched acid line.
St Alma	2024	Frogmore Creek		Riesling	Coal River	TAS	Riesling		750:93	s		Honeysuckle, lime zest and white blossom; crisp lemon, grapefruit and pear, chalky mineral finish, bone dry.
St Alma	2024	Domaine Sparr	Sentiment	Riesling	Alsace	FRA	Riesling		750:130	s,v		Ripe citrus, pomelo and bergamot with pineapple; dry, generous and well proportioned against clear freshness.
St Alma	2021	Domaines Schlumberger Grand Cru	Saering	Riesling	Alsace	FRA	Riesling		750:147	s,v		Yuzu, lemon zest and star fruit with white flowers and ginger; taut, mineral and dry with firm phenolic grip.
St Alma	2023	Weingut Hüls		Riesling	Mosel	GER	Riesling		750:89	s		Apple, white peach, bergamot and flint; dry, dense and taut with mineral slate length.
St Alma	2024	Loimer	Lenz	Riesling	Kamptal	AUT	Riesling		750:97	s,v		Stone fruit, dried apple and apricot with a saline herbal edge; racy acidity, velvety juicy texture, long finish.
St Alma	2023	Nick Spencer	Tumbarumba	Grüner Veltliner	Tumbarumba	NSW	Other whites	Crisp & refreshing	750:89	s,v		Citrus, grapefruit and stone fruit with a whisper of spice; juicy and vibrant, gentle texture, approachable acidity.
St Alma	2024	Poggio Anima	Uriel	Grillo	Sicily	ITA	Other whites	Crisp & refreshing	750:73	s		White peach and plum with wildflowers and a touch of mango; soft mid-palate breadth, mineral edge, fresh finish.
St Alma	2024	i Lauri	AVALOS	Pecorino	Abruzzo	ITA	Other whites	Crisp & refreshing	750:81	s,v		Pear, white peach, apricot and white flowers; structured and juicy with textural weight and a persistent dry finish.
St Alma	2024	i Lauri	TAVO	Pinot Grigio	Veneto	ITA	Other whites	Aromatic & textural	750:75	s,v		Golden apple and pear, lightly floral; round palate of ripe apple and peach with gentle acidity, unoaked.
St Alma	2024	Greystone		Pinot Gris	Waipara	NZ	Other whites	Aromatic & textural	750:83	v		Pear, nectarine and apple with exotic florals and honey; weighty and textured from lees and neutral barrel.
St Alma	2024	Inama Soave Classico		Garganega	Veneto	ITA	Other whites	Aromatic & textural	750:91	s		Spring flowers and orchard fruit; pear, stone fruit and tangerine, precise and unoaked with a long mineral finish.
St Alma	2025	Grosset	Apiana	Fiano	Clare Valley	SA	Other whites	Mineral & complex	750:106	s,v		Beeswax, lemon pith, fennel and wet stone; white peach and quince, supple texture, long dry finish.
